,Monster Skill Count 2020-02-23
PYTHON,
SQL,
R,
SPARK,
SAS,
JAVASCRIPT,
SAAS,
HIVE,
SCALA,
EXCEL,
TENSORFLOW,
C++,
AZURE,
NOSQL,
LINUX,
C,
MATLAB,
HADOOP,
JAVA,
TABLEAU,
AWS,
GIT,
JAVASCRIPT,
PIG,
HBASE,
GOOGLE CLOUD,
DOCKER,
NUMPY,
PYTORCH,
C#,
SPSS,
MYSQL,
PERL,
CASSANDRA,
MONGODB,
GCP,
KUBERNETES,
D3,
DATABRICKS,
POSTGRESQL,
CAFFE,
AIRFLOW,
ALTERYX,
BIGQUERY,
FASTAI,
